Dados salvos Redes de Gás !
230010AA	Aroeira  	Apartamento	3	Positivo      	Nao	1.9	0.6
230088VC	Visconde 	Casa       	3	Negativo      	Nao	0.6	0.2
230089VC	Visconde 	Casa       	1	Indiferente   	Nao	1.6	1.6
230090MA	Miramar  	Apartamento	2	Indiferente   	Nao	1.7	0.8
230091MA	Miramar  	Apartamento	1	Negativo      	Sim	1.3	1.3
230092VA	Visconde 	Apartamento	5	Indiferente   	Sim	1.9	0.4
230093AC	Aroeira  	Casa       	3	Negativo      	Sim	1.7	0.6
230094MC	Miramar  	Casa       	3	Negativo      	Nao	1.3	0.4
230095MA	Miramar  	Apartamento	4	Positivo      	Nao	1.4	0.4
230096VA	Visconde 	Apartamento	1	Positivo      	Nao	1.7	1.7
230097MC	Miramar  	Casa       	3	Negativo      	Sim	1.5	0.5
230098AC	Aroeira  	Casa       	3	Indiferente   	Nao	1.5	0.5
230099MC	Miramar  	Casa       	3	Indiferente   	Nao	1.3	0.4
230100MA	Miramar  	Apartamento	3	Indiferente   	Nao	0.8	0.3
230101VC	Visconde 	Casa       	2	Positivo      	Nao	1.1	0.5
230102MA	Miramar  	Apartamento	6	Positivo      	Nao	1.9	0.3
230103AA	Aroeira  	Apartamento	2	Indiferente   	Sim	1.0	0.5
230104MA	Miramar  	Apartamento	4	Indiferente   	Nao	1.3	0.3
230105AA	Aroeira  	Apartamento	6	Positivo      	Sim	1.6	0.3
230106AC	Aroeira  	Casa       	2	Indiferente   	Nao	1.4	0.7
230107AA	Aroeira  	Apartamento	2	Indiferente   	Nao	1.5	0.8
230108AC	Aroeira  	Casa       	6	Negativo      	Nao	0.5	0.1
230109AA	Aroeira  	Apartamento	1	Negativo      	Nao	1.9	1.9
230110AC	Aroeira  	Casa       	4	Indiferente   	Nao	1.7	0.4
230111VA	Visconde 	Apartamento	3	Indiferente   	Nao	0.6	0.2
230112AC	Aroeira  	Casa       	5	Indiferente   	Nao	0.9	0.2
230113AA	Aroeira  	Apartamento	6	Positivo      	Sim	0.5	0.1
230114AA	Aroeira  	Apartamento	2	Positivo      	Sim	1.2	0.6
O consumo medio dos pesquisados com interesse positivo: 0.0
Percentual de pesquisados indiferentes a implantacao: 0.0%
O percentual de pesquisados negativos que tem rede instalada: 0.0%
O percentual de pesquisados positivos que nao tem rede instalada: 0.0%
=================================================================================================================================
O pesquisado de menor consumo com todos os seus dados: 
230011AA	Aroeira  	Apartamento	4	Indiferente   	Nao	0.6	0.1
